app_id,income,dti,age,bureau_score,new_to_credit,recent_arrears,utilisation,hardship_flag,segment
1,33079.0,0.266,28,529.0,0,0,0.527,0,Value
2,20661.0,0.24,31,655.0,0,0,0.581,0,Core
3,38664.0,0.372,30,646.0,0,0,1.038,0,Core
4,41324.0,0.35,36,688.0,0,1,0.552,0,Value
5,15020.0,0.151,31,711.0,0,0,0.791,0,Value
6,18849.0,0.455,49,742.0,0,1,0.418,0,Core
7,31093.0,0.309,28,641.0,0,0,0.493,0,Value
8,26617.0,0.187,51,712.0,0,0,0.553,0,Value
9,29558.0,0.463,37,691.0,0,0,0.38,0,HighRisk
10,22058.0,0.395,54,586.0,0,0,0.505,0,Core
11,40449.0,0.168,46,785.0,0,0,0.745,0,Value
12,39036.0,0.533,65,601.0,0,0,0.374,0,Value
13,30428.0,0.399,42,703.0,0,0,0.55,0,Core
14,44114.0,0.319,35,701.0,0,0,0.706,0,Value
15,35018.0,0.511,49,695.0,0,0,0.369,0,Value
16,22010.0,0.339,53,653.0,0,0,0.791,0,Core
17,33829.0,0.317,42,725.0,0,0,0.566,0,Core
18,21256.0,0.241,48,594.0,0,0,0.514,0,Core
19,40435.0,0.39,44,676.0,0,0,0.108,0,Value
20,29218.0,0.377,35,649.0,1,0,0.468,0,Core
21,27870.0,0.322,36,643.0,0,0,0.632,0,Core
22,23428.0,0.225,65,704.0,0,0,0.934,0,Core
23,45610.0,0.336,54,739.0,0,0,0.675,0,Value
24,28167.0,0.312,25,661.0,1,0,0.798,0,Value
25,25593.0,0.16,68,723.0,0,1,0.284,0,Core
26,26285.0,0.143,55,683.0,1,1,0.522,0,Core
27,35822.0,0.388,23,631.0,1,0,0.819,0,Core
28,33790.0,0.05,56,666.0,0,0,0.355,0,Core
29,34353.0,0.345,49,664.0,0,0,0.762,0,Value
30,34572.0,0.263,65,642.0,0,0,0.711,0,Core
31,62917.0,0.477,44,704.0,0,0,0.61,0,Value
32,25790.0,0.261,46,693.0,0,0,0.478,0,Value
33,24853.0,0.399,36,593.0,0,0,0.333,0,HighRisk
34,22363.0,0.272,36,589.0,0,1,0.941,0,Core
35,36886.0,0.334,51,703.0,1,0,0.689,0,Core
36,44141.0,0.408,61,635.0,0,1,0.625,0,Core
37,28570.0,0.264,64,697.0,0,0,0.459,0,HighRisk
38,22158.0,0.44,58,723.0,0,0,0.558,0,Value
39,22280.0,0.201,50,610.0,0,0,0.586,0,Value
40,37336.0,0.355,45,602.0,0,0,0.638,0,Value
41,38566.0,0.431,37,772.0,0,0,0.712,0,Core
42,35958.0,0.399,58,699.0,0,0,0.378,0,Value
43,23554.0,0.55,36,657.0,0,0,0.227,0,Value
44,32249.0,0.228,34,629.0,0,0,0.569,1,Core
45,30972.0,0.155,63,652.0,0,0,0.166,0,HighRisk
46,32098.0,0.201,49,615.0,0,0,0.479,0,HighRisk
47,40336.0,0.399,38,729.0,1,0,0.438,0,HighRisk
48,32153.0,0.38,63,637.0,0,0,0.658,0,Value
49,37708.0,0.332,68,740.0,0,0,0.986,0,Core
50,30444.0,0.185,36,658.0,0,0,0.122,0,Value
51,32899.0,0.412,46,623.0,0,0,1.05,0,Core
52,37084.0,0.173,44,657.0,0,1,0.499,0,Value
53,17854.0,0.459,55,536.0,1,0,0.627,0,Core
54,26585.0,0.663,67,673.0,0,0,0.239,0,HighRisk
55,25219.0,0.364,47,671.0,0,0,0.769,0,Core
56,23775.0,0.39,60,725.0,0,0,0.559,0,Core
57,27003.0,0.261,50,576.0,0,0,0.536,0,Core
58,50173.0,0.103,64,744.0,1,0,0.124,0,Value
59,21960.0,0.248,40,725.0,0,0,0.566,0,Core
60,41727.0,0.189,39,749.0,0,0,0.736,0,Core
61,16498.0,0.146,41,677.0,0,1,0.498,0,Core
62,26444.0,0.527,69,736.0,0,0,0.808,0,Core
63,31475.0,0.353,50,599.0,0,0,0.799,0,HighRisk
64,36504.0,0.366,28,719.0,0,0,0.409,0,Core
65,38137.0,0.283,23,638.0,1,0,0.901,0,Core
66,39249.0,0.299,46,589.0,1,0,0.56,0,Core
67,26316.0,0.436,60,618.0,0,1,0.561,0,Core
68,25290.0,0.316,44,680.0,0,1,0.572,0,Core
69,40147.0,0.384,48,635.0,0,0,0.565,0,Core
70,27807.0,0.296,60,701.0,0,0,0.02,0,Core
71,19025.0,0.279,46,581.0,0,1,0.509,0,Core
72,19997.0,0.151,65,563.0,0,0,0.25,0,Core
73,21551.0,0.083,52,755.0,0,0,0.908,0,Value
74,35384.0,0.289,56,730.0,1,0,0.899,0,Core
75,31252.0,0.327,59,622.0,0,0,0.737,0,Value
76,37861.0,0.166,51,680.0,1,0,0.498,0,Value
77,25603.0,0.316,23,736.0,1,1,0.328,0,HighRisk
78,31429.0,0.326,41,703.0,0,0,0.405,0,Core
79,37010.0,0.061,27,688.0,1,0,0.977,0,Value
80,26682.0,0.21,46,740.0,0,0,0.398,0,HighRisk
81,34887.0,0.369,28,640.0,0,0,0.032,0,HighRisk
82,23584.0,0.366,45,682.0,0,0,0.777,0,Value
83,26185.0,0.182,37,679.0,0,0,0.88,0,Core
84,26014.0,0.339,21,665.0,1,1,0.915,1,HighRisk
85,19564.0,0.443,27,659.0,1,0,0.778,0,Value
86,35258.0,0.413,45,684.0,0,0,0.814,0,Core
87,25228.0,0.309,24,682.0,1,0,0.562,0,Core
88,29863.0,0.264,62,622.0,0,0,0.093,0,HighRisk
89,35181.0,0.244,58,724.0,0,0,0.556,0,Core
90,34762.0,0.376,55,626.0,0,1,0.687,0,Value
91,37530.0,0.343,29,668.0,0,0,0.52,1,Core
92,28725.0,0.396,59,664.0,0,0,0.51,0,Value
93,25638.0,0.336,52,700.0,0,0,0.338,0,Core
94,28915.0,0.418,40,563.0,0,0,0.33,0,Value
95,16472.0,0.331,21,729.0,1,0,0.954,0,Core
96,17917.0,0.414,46,643.0,0,0,0.962,0,HighRisk
97,18715.0,0.424,59,747.0,0,0,0.549,0,Core
98,20972.0,0.223,22,654.0,1,0,0.612,0,Core
99,34198.0,0.103,23,677.0,1,0,0.334,0,Core
100,21657.0,0.505,39,785.0,0,0,0.691,0,Core
101,26047.0,0.351,46,665.0,0,0,0.937,0,HighRisk
102,46851.0,0.114,44,748.0,0,0,0.214,0,Core
103,26247.0,0.234,41,682.0,0,0,0.652,0,Core
104,38489.0,0.413,33,703.0,0,0,0.669,0,Value
105,21445.0,0.286,23,684.0,1,0,0.666,0,Core
106,27670.0,0.259,22,727.0,1,0,0.911,0,Core
107,21322.0,0.488,25,642.0,1,0,0.998,0,Value
108,26406.0,0.194,54,626.0,0,1,0.499,0,Core
109,39899.0,0.224,59,645.0,0,0,0.698,0,Value
110,16243.0,0.345,42,685.0,1,0,0.569,0,Value
111,34615.0,0.367,24,668.0,1,1,0.411,0,Core
112,32312.0,0.38,41,719.0,0,0,0.61,0,Value
113,24150.0,0.429,69,752.0,0,0,0.698,0,HighRisk
114,17924.0,0.344,33,626.0,1,0,0.598,0,Core
115,30493.0,0.379,45,640.0,0,0,0.356,0,Value
116,24703.0,0.289,47,601.0,1,0,0.448,0,Core
117,32255.0,0.328,37,792.0,0,0,0.45,0,Core
118,29961.0,0.333,42,697.0,0,0,0.365,0,Value
119,52084.0,0.346,44,706.0,0,1,0.619,0,Core
120,27343.0,0.413,44,606.0,0,0,0.642,0,Core
121,20781.0,0.387,56,680.0,0,0,0.765,0,Core
122,31658.0,0.325,49,708.0,0,0,0.361,0,Value
123,32112.0,0.223,23,666.0,1,1,0.423,0,Value
124,47845.0,0.328,21,739.0,1,0,0.892,0,Core
125,39827.0,0.317,41,807.0,0,0,0.514,1,Core
126,33688.0,0.343,65,628.0,0,0,0.557,0,HighRisk
127,49620.0,0.585,22,624.0,1,0,0.511,0,Core
128,19613.0,0.257,24,632.0,1,0,0.799,0,Core
129,23768.0,0.371,54,768.0,0,0,0.808,0,Core
130,21498.0,0.448,43,737.0,0,1,0.795,0,Value
131,25941.0,0.332,32,673.0,0,1,0.556,0,Core
132,18364.0,0.601,31,682.0,1,1,0.358,0,Value
133,37135.0,0.275,53,635.0,0,0,0.974,0,Value
134,27508.0,0.359,46,729.0,1,0,0.738,0,Core
135,17769.0,0.224,52,659.0,0,0,0.45,0,Value
136,20838.0,0.278,34,666.0,0,0,0.863,0,Core
137,33181.0,0.35,46,713.0,0,0,0.432,0,Core
138,39869.0,0.422,63,670.0,1,0,0.86,0,Value
139,59806.0,0.358,36,667.0,0,0,0.875,0,Core
140,82442.0,0.471,40,681.0,0,0,0.347,0,HighRisk
141,34374.0,0.309,29,724.0,0,0,0.678,0,Value
142,21029.0,0.28,52,771.0,0,0,0.722,0,Core
143,15000.0,0.644,22,712.0,1,0,1.125,0,HighRisk
144,32653.0,0.367,33,724.0,1,0,0.387,0,Core
145,22370.0,0.234,55,669.0,0,0,0.865,0,Core
146,25710.0,0.237,21,641.0,1,0,0.554,0,Core
147,23999.0,0.207,69,716.0,0,0,0.277,0,HighRisk
148,28303.0,0.432,40,689.0,1,1,0.524,0,Core
149,43178.0,0.276,40,602.0,0,0,0.551,0,Core
150,31413.0,0.335,47,662.0,0,0,0.317,0,Core
151,28127.0,0.312,52,675.0,0,0,0.619,0,Core
152,20692.0,0.408,43,652.0,0,0,0.761,0,Core
153,16545.0,0.218,64,761.0,0,0,0.602,0,Value
154,25079.0,0.191,68,706.0,0,0,0.431,0,HighRisk
155,29178.0,0.347,30,756.0,0,0,0.517,0,Value
156,55203.0,0.392,55,694.0,0,0,0.549,0,Core
157,31120.0,0.36,35,684.0,1,0,0.598,0,Core
158,41938.0,0.223,69,628.0,0,1,0.794,0,Core
159,24965.0,0.401,33,681.0,1,0,0.61,0,Core
160,19639.0,0.231,35,681.0,0,0,0.241,0,Value
161,21210.0,0.257,55,605.0,0,0,0.426,0,Core
162,23067.0,0.207,59,650.0,0,0,0.587,0,Value
163,62628.0,0.476,27,662.0,1,0,0.797,0,Core
164,22304.0,0.396,48,703.0,0,0,0.836,0,Value
